0 0 -0 -0 0. 0. 0. 0.
6.1e-09 3.63970312460492e-06 -3.65805548842044e-06 -0 0. 0. 0. 0.
1.22e-08 7.26124363788e-06 -7.33465614975076e-06 -0 0. 0. 0. 0.
1.83e-08 1.08648083009176e-05 -1.10299979167106e-05 -0 0. 0. 0. 0.
2.44e-08 1.44505809468775e-05 -1.47442799145335e-05 -0 0. 0. 0. 0.
3.05e-08 1.80187425427615e-05 -1.84777045317823e-05 -0 0. 0. 0. 0.
3.66e-08 2.1569471249547e-05 -2.22304774931655e-05 -0 0. 0. 0. 0.
4.27e-08 2.51029424807392e-05 -2.60028079344148e-05 -0 0. 0. 0. 0.
4.88e-08 2.86193289593825e-05 -2.97949084793037e-05 -0 0. 0. 0. 0.
5.49e-08 3.21188007735905e-05 -3.36069953188724e-05 -0 0. 0. 0. 0.
6.1e-08 3.56015254306337e-05 -3.7439288292945e-05 -0 0. 0. 0. 0.
6.71e-08 3.90676679096341e-05 -4.12920109740119e-05 -0 0. 0. 0. 0.
7.32e-08 4.25173907129042e-05 -4.51653907535678e-05 -0 0. 0. 0. 0.
7.93e-08 4.59508539159803e-05 -4.90596589309857e-05 -0 0. 0. 0. 0.
8.57e-08 4.95358694919009e-05 -5.31681602436074e-05 -0 0. 0. 0. 0.
9.24e-08 5.32701374185213e-05 -5.74944616587768e-05 -0 0. 0. 0. 0.
9.93e-08 5.70959915257946e-05 -6.19772006388966e-05 -0 0. 0. 0. 0.
1.062e-07 6.0901884217235e-05 -6.64879919104387e-05 -0 0. 0. 0. 0.
1.132e-07 6.47427570997527e-05 -7.10931992392339e-05 -0 0. 0. 0. 0.
1.207e-07 6.88356744198715e-05 -7.60602525977102e-05 -0 0. 0. 0. 0.
1.289e-07 7.32845005926346e-05 -8.15304164630549e-05 -0 0. 0. 0. 0.
1.375e-07 7.79214169162688e-05 -8.73124666436495e-05 -0 0. 0. 0. 0.
1.463e-07 8.26359089969248e-05 -9.3277525502378e-05 -0 0. 0. 0. 0.
1.552e-07 8.73732541171318e-05 -9.93611766487938e-05 -0 0. 0. 0. 0.
1.642e-07 9.21328282633466e-05 -0.00010556606698758 -0 0. 0. 0. 0.
1.737e-07 9.71234622788456e-05 -0.000112174430334523 -0 0. 0. 0. 0.
1.834e-07 0.0001021842988744 -0.000118985375478438 -0 0. 0. 0. 0.
1.933e-07 0.000107313673364733 -0.000126004191568137 -0 0. 0. 0. 0.
2.032e-07 0.000112407388491341 -0.00013309253214706 -0 0. 0. 0. 0.
2.132e-07 0.000117516870777777 -0.000140324532390385 -0 0. 0. 0. 0.
2.232e-07 0.000122590999228787 -0.000147630494961151 -0 0. 0. 0. 0.
2.332e-07 0.000127630274489538 -0.000155012016149159 -0 0. 0. 0. 0.
2.45e-07 0.000133532458376953 -0.000163821647545921 -0 0. 0. 0. 0.
2.58e-07 0.000139980410647328 -0.000173655005936381 -0 0. 0. 0. 0.
2.71e-07 0.00014637226606949 -0.000183626186958227 -0 0. 0. 0. 0.
2.85e-07 0.00015319420906981 -0.000194523223601512 -0 0. 0. 0. 0.
2.99e-07 0.000159953457190238 -0.000205590232847821 -0 0. 0. 0. 0.
3.14e-07 0.000167127270612102 -0.00021764278095508 -0 0. 0. 0. 0.
3.29e-07 0.000174231863531059 -0.000229904257116649 -0 0. 0. 0. 0.
3.44e-07 0.000181268596390113 -0.000242382400196287 -0 0. 0. 0. 0.
3.6e-07 0.000188701134467788 -0.000255940471622759 -0 0. 0. 0. 0.
3.76e-07 0.000196059517680796 -0.000269764940178168 -0 0. 0. 0. 0.
3.94e-07 0.000204250932987001 -0.000285649920090634 -0 0. 0. 0. 0.
4.12e-07 0.000212352473462919 -0.000301903452731828 -0 0. 0. 0. 0.
4.3e-07 0.000220366142175966 -0.000318544012500593 -0 0. 0. 0. 0.
4.48e-07 0.000228293874855093 -0.000335591546038722 -0 0. 0. 0. 0.
4.67e-07 0.000236570874034546 -0.000354051557182579 -0 0. 0. 0. 0.
4.87e-07 0.000245184651989954 -0.000374029397142607 -0 0. 0. 0. 0.
5.07e-07 0.00025369939503057 -0.00039460219639841 -0 0. 0. 0. 0.
5.28e-07 0.000262535813627286 -0.000416886487027306 -0 0. 0. 0. 0.
5.49e-07 0.000271268166732591 -0.000439919339838482 -0 0. 0. 0. 0.
5.71e-07 0.000280307433214701 -0.000464912450060002 -0 0. 0. 0. 0.
5.94e-07 0.000289641353186081 -0.000492063190976093 -0 0. 0. 0. 0.
6.17e-07 0.000298859445729304 -0.000520350071021091 -0 0. 0. 0. 0.
6.41e-07 0.000308357977038219 -0.000551193700938959 -0 0. 0. 0. 0.
6.66e-07 0.00031812495771716 -0.000584913272199634 -0 0. 0. 0. 0.
6.91e-07 0.000327765417198173 -0.000620440598295652 -0 0. 0. 0. 0.
7.17e-07 0.000337660838042525 -0.0006595464421566 -0 0. 0. 0. 0.
7.45e-07 0.000348172504289773 -0.000704466421350228 -0 0. 0. 0. 0.
7.73e-07 0.0003585380341932 -0.000752759704061799 -0 0. 0. 0. 0.
8.01e-07 0.00036876152310656 -0.00080503259867689 -0 0. 0. 0. 0.
8.3e-07 0.00037920457925972 -0.000864220951595886 -0 0. 0. 0. 0.
8.6e-07 0.000389856271082524 -0.000932138483604856 -0 0. 0. 0. 0.
8.91e-07 0.00040070583871439 -0.00101151636839926 -0 0. 0. 0. 0.
9.23e-07 0.000411742714105271 -0.00110679426093321 -0 0. 0. 0. 0.
9.57e-07 0.000423293743508061 -0.0012301370509616 -0 0. 0. 0. 0.
9.91e-07 0.000434669300816528 -0.00139296233495061 -0 0. 0. 0. 0.
1.025e-06 0.000445874740927422 -0.00165261930292974 -0 0. 0. 0. 0.
1.036e-06 0.000449464462219237 -0.00180447643253897 -0 0. 0. 0. 0.
1.0421e-06 0.000451447743732498 -0.0019596211628142 -0 0. 0. 0. 0.
1.0486e-06 0.000453555320564931 -0.00210316327262796 -0.000270328387501382 0. 0. 0. 0.
1.0551e-06 0.00045565699197934 -0.00207171070163042 -0.000404605986805067 0. 0. 0. 0.
1.0616e-06 0.000457752791620012 -0.0020467137589334 -0.000499450916374702 0. 0. 0. 0.
1.0681e-06 0.000459842752840857 -0.00202399923346977 -0.000576303103378415 0. 0. 0. 0.
1.0746e-06 0.000461926908708777 -0.00200254614315929 -0.000642141519535998 0. 0. 0. 0.
1.0811e-06 0.000464005292006977 -0.00198194056466949 -0.000700306187825386 0. 0. 0. 0.
1.0876e-06 0.00046607793523823 -0.0019619718207043 -0.000752709449936929 0. 0. 0. 0.
1.0941e-06 0.000468144870628093 -0.00194251702665429 -0.000800570292807685 0. 0. 0. 0.
1.1006e-06 0.000470206130128085 -0.00192349753477976 -0.000844723945094596 0. 0. 0. 0.
1.1071e-06 0.000472261745418809 -0.00190485945402433 -0.000885773338680282 0. 0. 0. 0.
1.1136e-06 0.000474311747913035 -0.00188656385425235 -0.000924171263994142 0. 0. 0. 0.
1.1209e-06 0.000476607405538069 -0.0018663886383759 -0.00096456644765992 0. 0. 0. 0.
1.1286e-06 0.000479021271508356 -0.00184550087717553 -0.00100445746068906 0. 0. 0. 0.
1.1369e-06 0.000481614571682634 -0.0018234043799437 -0.00104473666764892 0. 0. 0. 0.
1.1456e-06 0.000484323273394478 -0.00180067857290427 -0.00108430712093984 0. 0. 0. 0.
1.1549e-06 0.00048720802262115 -0.00177684827744422 -0.00112397382007906 0. 0. 0. 0.
1.174e-06 0.000493098110390067 -0.00172929688261962 -0.0011981989043084 0. 0. 0. 0.
1.1931e-06 0.000498942396147246 -0.00168346739028464 -0.00126435186731926 0. 0. 0. 0.
1.2122e-06 0.000504741599590969 -0.00163921781227577 -0.00132391799106908 0. 0. 0. 0.
1.2313e-06 0.00051049642338731 -0.00159643367386135 -0.00137798526151343 0. 0. 0. 0.
1.252e-06 0.000516684010846592 -0.00155160887585239 -0.00143132770528657 0. 0. 0. 0.
1.274e-06 0.000523204887701636 -0.00150561428280708 -0.00148291215768651 0. 0. 0. 0.
1.298e-06 0.000530254726167552 -0.0014572452265255 -0.00153405888497384 0. 0. 0. 0.
1.323e-06 0.000537528783569795 -0.001408733867129 -0.00158246282410014 0. 0. 0. 0.
1.349e-06 0.000545020011251802 -0.00136017575977178 -0.00162826824813933 0. 0. 0. 0.
1.377e-06 0.000553005050387655 -0.00130989840299813 -0.0016731386318916 0. 0. 0. 0.
1.406e-06 0.000561187043625141 -0.00125988190493392 -0.00171539710724126 0. 0. 0. 0.
1.465e-06 0.000577564053467217 -0.00116401595184946 -0.00179038120738495 0. 0. 0. 0.
1.524e-06 0.000593593138919743 -0.00107522013663517 -0.00185350492854721 0. 0. 0. 0.
1.583e-06 0.00060928900227918 -0.000992646573427096 -0.00190732289561889 0. 0. 0. 0.
1.642e-06 0.000624665423884038 -0.000915585352846046 -0.00195368932190755 0. 0. 0. 0.
1.701e-06 0.000639735338168481 -0.000843435611941574 -0.0019939905099115 0. 0. 0. 0.
1.76e-06 0.000654510901990785 -0.00077568431282736 -0.0020292875707949 0. 0. 0. 0.
1.819e-06 0.00066900355616335 -0.000711890148500119 -0.0020604084320646 0. 0. 0. 0.
1.878e-06 0.000683224080983437 -0.00065167105049831 -0.00208800950997297 0. 0. 0. 0.
1.94e-06 0.000697885583158534 -0.00059187834572623 -0.00211379793770596 0. 0. 0. 0.
2.002e-06 0.000712268934150966 -0.000535329608514276 -0.00213677686143386 0. 0. 0. 0.
2.067e-06 0.00072706103128177 -0.000479207063709683 -0.00215829012272826 0. 0. 0. 0.
2.132e-06 0.000741570338230322 -0.000426029534564888 -0.00217753875303246 0. 0. 0. 0.
2.202e-06 0.000756891800040341 -0.000371756742392869 -0.00219609313208658 0. 0. 0. 0.
2.272e-06 0.000771910380198458 -0.000320312186957265 -0.00221270537267249 0. 0. 0. 0.
2.347e-06 0.000787679099484243 -0.000268047723132463 -0.00222865005616308 0. 0. 0. 0.
2.422e-06 0.000803127497708396 -0.000218472949372152 -0.002242940112642 0. 0. 0. 0.
2.497e-06 0.000818268477807705 -0.000171351001413506 -0.00225579936317482 0. 0. 0. 0.
2.574e-06 0.000833506122759654 -0.00012530541185155 -0.00226770874022765 0. 0. 0. 0.
2.653e-06 0.000848829015474684 -8.03133307117635e-05 -0.00227874183660606 0. 0. 0. 0.
2.732e-06 0.000863849826791023 -3.74107932724249e-05 -0.00228872635504755 0. 0. 0. 0.
2.812e-06 0.000878765011984763 4.07823590597579e-06 -0.0022979013242213 0. 0. 0. 0.
2.897e-06 0.000894299135910471 4.6176432910596e-05 -0.00230674459188672 0. 0. 0. 0.
2.989e-06 0.0009107635887958 8.96262508655517e-05 -0.002315396342364 0. 0. 0. 0.
3.085e-06 0.000927573444213103 0.000132816921487077 -0.00232353510072951 0. 0. 0. 0.
3.181e-06 0.000944021207933448 0.000173997918168732 -0.00233088237424989 0. 0. 0. 0.
3.281e-06 0.000960785866250744 0.000214935832212353 -0.00233780144147543 0. 0. 0. 0.
3.381e-06 0.000977190653723254 0.00025403784496322 -0.00234406483892248 0. 0. 0. 0.
3.5e-06 0.000996264503004249 0.000298379117805933 -0.00235077454882569 0. 0. 0. 0.
3.619e-06 0.0010148742705351 0.000340545310322927 -0.00235678283916286 0. 0. 0. 0.
3.738e-06 0.00103304218975201 0.000380727038753809 -0.00236218422785553 0. 0. 0. 0.
3.857e-06 0.0010507889246985 0.00041909193428559 -0.00236705778738149 0. 0. 0. 0.
3.99e-06 0.00107014869830683 0.000460001827288766 -0.00237196156584393 0. 0. 0. 0.
4.123e-06 0.00108903130977226 0.000499009078843676 -0.00237636693795364 0. 0. 0. 0.
